Temperature,DAY,Leaf Order,Leaf Area,Leaf Area Accumulation
10,33,1,14.8,14.8
10,33,2,13.46666667,28.26666667
10,33,3,7.666666667,35.93333333
10,33,4,4.833333333,40.76666667
10,33,5,1.4,42.16666667
10,33,6,0.733333333,42.9
10,33,7,0.3,43.2
10,47,1,34.88333333,34.88333333
10,47,2,27.65333333,62.53666667
10,47,3,38.74666667,101.2833333
10,47,4,34.61333333,135.8966667
10,47,5,43.46333333,179.36
10,47,6,36.72,216.08
10,47,7,24.22,240.3
10,47,8,16.35333333,256.6533333
10,47,9,10.09666667,266.75
10,47,10,4.65,271.4
10,47,11,2.253333333,273.6533333
10,47,12,0.963333333,274.6166667
10,47,13,0.84,275.4566667
10,47,14,0.41,275.8666667
10,63,1,24.32666667,24.32666667
10,63,2,33.62666667,57.95333333
10,63,3,66.65666667,124.61
10,63,4,52.37,176.98
10,63,5,65.15333333,242.1333333
10,63,6,63.69666667,305.83
10,63,7,75.84666667,381.6766667
10,63,8,62.99666667,444.6733333
10,63,9,46.25666667,490.93
10,63,10,44.9,535.83
10,63,11,37.68333333,573.5133333
10,63,12,27.90333333,601.4166667
10,63,13,17.98666667,619.4033333
10,63,14,12.14,631.5433333
10,63,15,7.77,639.3133333
10,63,16,2.873333333,642.1866667
10,63,17,1.93,644.1166667
10,63,18,1.436666667,645.5533333
10,63,19,0.706666667,646.26
10,63,20,0.91,647.17
10,63,21,1.33,648.5
10,63,22,0.38,648.88
10,63,23,0.49,649.37
10,77,1,15.695,15.695
10,77,2,32.555,48.25
10,77,3,43.3,91.55
10,77,4,42.875,134.425
10,77,5,56.225,190.65
10,77,6,62.055,252.705
10,77,7,76.7,329.405
10,77,8,74.765,404.17
10,77,9,61.425,465.595
10,77,10,57.815,523.41
10,77,11,78.555,601.965
10,77,12,55.45,657.415
10,77,13,58.485,715.9
10,77,14,44.4,760.3
10,77,15,39.605,799.905
10,77,16,25.81,825.715
10,77,17,19.59,845.305
10,77,18,18.26,863.565
10,77,19,8.355,871.92
10,77,20,7.465,879.385
10,77,21,5.65,885.035
10,77,22,1.85,886.885
10,77,23,1.32,888.205
10,77,24,1.29,889.495
10,77,25,0.52,890.015
10,77,26,0.37,890.385
10,91,1,14.29666667,14.29666667
10,91,2,19.87333333,34.17
10,91,3,34.13333333,68.30333333
10,91,4,37.43,105.7333333
10,91,5,49.10666667,154.84
10,91,6,68.57666667,223.4166667
10,91,7,75.96666667,299.3833333
10,91,8,81.83,381.2133333
10,91,9,118.02,499.2333333
10,91,10,83.19333333,582.4266667
10,91,11,71.55333333,653.98
10,91,12,83.71333333,737.6933333
10,91,13,69.37666667,807.07
10,91,14,63.04666667,870.1166667
10,91,15,49.98,920.0966667
10,91,16,51.12666667,971.2233333
10,91,17,35.53,1006.753333
10,91,18,30.61666667,1037.37
10,91,19,29.18666667,1066.556667
10,91,20,16.49333333,1083.05
10,91,21,10.76,1093.81
10,91,22,12.01333333,1105.823333
10,91,23,4.03,1109.853333
10,91,24,2.616666667,1112.47
10,91,25,0.883333333,1113.353333
10,91,26,0.75,1114.103333
10,91,27,0.47,1114.573333
10,91,28,0.7,1115.273333
10,91,29,0.08,1115.353333
15,33,1,45.3,45.3
15,33,2,26.95,72.25
15,33,3,42.23333333,114.4833333
15,33,4,54.23333333,168.7166667
15,33,5,51.2,219.9166667
15,33,6,55.13333333,275.05
15,33,7,46.56666667,321.6166667
15,33,8,31.3,352.9166667
15,33,9,16.7,369.6166667
15,33,10,6.666666667,376.2833333
15,33,11,3.133333333,379.4166667
15,33,12,1.366666667,380.7833333
15,33,13,1,381.7833333
15,33,14,0.7,382.4833333
15,33,15,1.8,384.2833333
15,33,16,1.3,385.5833333
15,47,1,44.52 ,44.52 
15,47,2,68.07 ,112.59 
15,47,3,85.38 ,197.97 
15,47,4,112.08 ,310.04 
15,47,5,108.95 ,418.99 
15,47,6,105.20 ,524.19 
15,47,7,125.85 ,650.04 
15,47,8,140.16 ,790.20 
15,47,9,126.10 ,916.30 
15,47,10,106.61 ,1022.91 
15,47,11,94.46 ,1117.36 
15,47,12,85.30 ,1202.66 
15,47,13,48.05 ,1250.71 
15,47,14,43.87 ,1294.58 
15,47,15,24.13 ,1318.72 
15,47,16,14.21 ,1332.93 
15,47,17,7.29 ,1340.22 
15,47,18,1.69 ,1341.91 
15,47,19,2.03 ,1343.94 
15,47,20,1.36 ,1345.29 
15,47,21,1.14 ,1346.43 
15,47,22,0.89 ,1347.32 
15,47,23,0.55 ,1347.87 
15,47,24,1.09 ,1348.96 
15,63,1,25.15,25.15
15,63,2,57.03333333,82.18333333
15,63,3,64.59,146.7733333
15,63,4,96.61,243.3833333
15,63,5,102.2566667,345.64
